Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[193,272,272,272,272]
[0,2.209064007,4.729915142,1.148873806,1.3005201816558838]
[190,272,272,272,272]
[0,2.063360453,4.392567396,1.136834145,1.2884321212768555]
[185,247,247,247,247]
[0,1.93870163,4.011467934,1.023948669,1.1706912517547607]
[189,294,294,294,294]
[0,2.31559968,5.25724411,1.205711126,1.4012396335601807]
[187,267,267,269,267]
[0,2.048393488,4.903046846,1.113886118,1.3290021419525146]
[186,279,279,279,279]
[0,2.159578562,4.460259438,1.124995708,1.324042797088623]
[191,296,296,296,296]
[0,2.387707949,4.654145479,1.211083889,1.3659651279449463]
[187,274,268,274,268]
[0,1.962255716,4.692457438,1.105154514,1.2585437297821045]
[185,286,278,278,278]
[0,2.027030945,3.833309889,1.106818438,1.2209386825561523]
[182,258,258,258,258]
[0,1.824391842,3.189572334,1.029229879,1.11612868309021]
[186,249,249,249,249]
[0,1.74331522,3.698536634,0.9853122234,1.130082607269287]
[187,281,281,285,281]
[0,1.984614372,4.1479671,1.1365695,1.2778332233428955]
[189,261,259,261,259]
[0,1.547928572,2.928203106,0.9975438118,1.1007413864135742]
[183,276,276,276,276]
[0,1.980694771,4.166162252,1.093772888,1.2483718395233154]
[188,270,270,276,270]
[0,1.726730108,2.890321255,1.055688381,1.1199963092803955]
[188,302,298,306,298]
[0,1.952641249,3.66601944,1.193297863,1.2890899181365967]
[187,276,275,275,275]
[0,2.005071163,3.878810644,1.097136497,1.237229824066162]
[178,253,253,253,253]
[0,1.985283613,3.747825146,1.02374053,1.1473186016082764]
[183,286,286,292,286]
[0,1.988935471,4.085605621,1.156054735,1.2932627201080322]
[182,269,269,269,269]
[0,1.88941884,3.500676632,1.064668417,1.182112455368042]
[188,282,282,282,282]
[0,1.940281868,3.615783691,1.116492271,1.2292461395263672]
[185,247,247,247,247]
[0,1.441871881,2.654794693,0.933352232,1.0245304107666016]
[183,270,270,270,270]
[0,2.122325182,4.029909849,1.130096436,1.2429823875427246]
[184,264,264,264,264]
[0,1.801148415,3.218344688,1.031274319,1.1411418914794922]
[190,281,277,287,277]
[0,1.920063972,4.108144045,1.137349129,1.2365248203277588]
[187,278,278,278,278]
[0,2.030846834,4.764768124,1.124651909,1.316713809967041]
[187,282,282,282,282]
[0,2.593533993,4.686522245,1.192675114,1.413827896118164]
[185,273,273,273,273]
[0,1.826365471,3.861545324,1.070227623,1.1861984729766846]
[186,262,262,262,262]
[0,1.927606583,4.018033028,1.066213369,1.207810640335083]
[185,253,253,253,253]
[0,2.364919186,4.586149216,1.108317852,1.2454700469970703]
[188,256,256,256,256]
[0,1.754262447,3.78689003,1.018157482,1.1402695178985596]
[186,278,278,278,278]
[0,1.679200411,3.283026695,1.07142663,1.174269437789917]
[184,251,251,251,251]
[0,2.043009758,4.020490885,1.055330753,1.176100492477417]
[189,283,285,291,285]
[0,1.901875257,3.392575741,1.131769657,1.1996924877166748]
[187,282,282,282,282]
[0,1.919915676,3.592460155,1.116670609,1.2335247993469238]
[175,257,257,257,257]
[0,1.650957584,2.70386982,1.002635717,1.0839605331420898]
[180,313,313,318,313]
[0,2.261498213,3.964846373,1.277022839,1.3599269390106201]
[187,244,244,244,244]
[0,2.101254225,4.356523514,1.048810005,1.2009925842285156]
[182,265,265,265,265]
[0,2.164618492,3.484677315,1.108457327,1.1884126663208008]
[189,286,286,286,286]
[0,1.996949673,4.306014538,1.117355824,1.291590690612793]
[184,298,296,298,296]
[0,1.906538486,3.577719212,1.153384924,1.2587745189666748]
[181,268,264,268,264]
[0,1.604657888,2.550267458,1.004712582,1.0666136741638184]
[187,267,265,266,265]
[0,1.848834038,3.311852932,1.055620432,1.1476666927337646]
[188,262,262,262,262]
[0,1.75765419,3.713346243,1.041982651,1.1714115142822266]
[189,270,270,270,270]
[0,1.873013258,3.895492554,1.072127104,1.206150770187378]
[190,259,259,259,259]
[0,1.806585789,3.721524239,1.019836903,1.1616525650024414]
[188,299,299,299,299]
[0,2.086863279,4.436376333,1.171797037,1.3151609897613525]
[182,283,283,283,283]
[0,2.093251228,3.898814201,1.133119583,1.2597029209136963]
[193,258,258,258,258]
[0,1.849110842,4.15491128,1.044341564,1.1809370517730713]
[180,266,266,266,266]
[0,1.978182077,3.897471428,1.077324629,1.1943049430847168]
[184,264,264,264,264]
[0,1.669507265,3.672302961,1.030695677,1.1684517860412598]
[181,248,248,248,248]
[0,1.980850935,3.978479624,1.013068676,1.1542320251464844]
[177,262,262,262,262]
[0,2.150161266,3.442288637,1.102133274,1.1918067932128906]
[186,256,256,256,256]
[0,1.978826761,4.144235611,1.053891182,1.1934771537780762]
[186,262,262,262,262]
[0,1.739070654,3.123568535,1.021860361,1.1401281356811523]
[185,266,266,266,266]
[0,2.198685646,4.785449982,1.100803375,1.3123786449432373]
[181,264,260,264,260]
[0,1.686074495,3.080420256,1.027552843,1.1037304401397705]
[187,252,252,252,252]
[0,2.097845078,4.09877944,1.061815023,1.1831443309783936]
[190,283,281,283,281]
[0,2.085831881,3.141421556,1.139084339,1.2108333110809326]
[185,271,271,271,271]
[0,1.962809086,4.694542408,1.101239443,1.270611047744751]
[191,275,275,275,275]
[0,1.822601318,3.848954439,1.078003645,1.2036921977996826]
[191,297,297,299,297]
[0,2.09694314,4.019596815,1.213690996,1.3352937698364258]
[189,265,265,265,265]
[0,1.991090059,4.558355093,1.083873034,1.2611632347106934]
[176,273,273,273,273]
[0,1.867879152,3.284542322,1.082930326,1.1651086807250977]
[175,268,266,268,266]
[0,2.051444292,3.497545481,1.09359622,1.1756224632263184]
[187,290,288,290,288]
[0,1.88291955,3.776755571,1.120444059,1.2163774967193604]
[188,272,272,272,272]
[0,1.5632267,2.902246714,1.077173233,1.1334915161132812]
[192,305,303,305,303]
[0,2.118786335,4.693172693,1.235224009,1.4375638961791992]
[187,267,267,267,267]
[0,2.295213461,5.163794994,1.121456623,1.3337085247039795]
[187,263,263,263,263]
[0,2.103770018,3.834742308,1.109474897,1.2292978763580322]
[188,261,261,261,261]
[0,2.022989035,3.93535924,1.073371887,1.2227892875671387]
[188,290,286,290,286]
[0,1.759361982,3.501963377,1.103174925,1.210481882095337]
[179,246,244,246,244]
[0,1.660337448,3.32678318,0.9670176506,1.062819004058838]
[186,269,269,269,269]
[0,2.069276571,4.168287277,1.105796337,1.214724063873291]
[180,304,302,306,302]
[0,2.377124786,4.630321503,1.249703407,1.3638651371002197]
[171,272,272,272,272]
[0,2.017186403,3.252577782,1.089788675,1.1777453422546387]
[187,266,266,266,266]
[0,1.959226131,4.101406336,1.072256565,1.214867353439331]
[185,284,284,294,284]
[0,1.775554419,3.135242462,1.126737356,1.1853148937225342]
[183,266,266,266,266]
[0,2.08995223,3.415516138,1.090156078,1.1653268337249756]
[189,288,288,288,288]
[0,1.851201773,3.163280964,1.116884708,1.2292141914367676]
[190,268,268,268,268]
[0,1.925541639,4.04668808,1.080966711,1.2275340557098389]
[190,275,273,273,273]
[0,1.952239037,3.644231796,1.089046478,1.216291904449463]
[186,286,286,296,286]
[0,2.266231298,4.656965494,1.215987206,1.343398094177246]
[187,264,264,264,264]
[0,1.615568638,3.197522402,1.008664131,1.1185345649719238]
[189,282,282,286,282]
[0,1.97820735,3.941860676,1.135304451,1.2618606090545654]
[187,266,266,266,266]
[0,1.657822609,3.241923571,1.021459341,1.1361734867095947]
[176,266,266,266,266]
[0,1.834590435,3.642618656,1.051681757,1.1712639331817627]
[191,269,269,269,269]
[0,2.495464325,4.970231056,1.152745962,1.3540058135986328]
[187,267,267,267,267]
[0,2.065176725,4.454957962,1.101671934,1.2520177364349365]
[186,269,267,269,267]
[0,2.129142761,4.214228392,1.114171982,1.2537329196929932]
[179,280,280,280,280]
[0,2.106081486,3.550118446,1.130681515,1.2461926937103271]
[187,278,278,278,278]
[0,2.314229012,4.928576946,1.165288687,1.3499541282653809]
[187,270,270,270,270]
[0,2.113925219,4.906125307,1.129034042,1.3136720657348633]
[188,282,282,282,282]
[0,1.847649813,3.668120861,1.091215849,1.2336740493774414]
[191,279,279,279,279]
[0,1.84038806,4.029232264,1.088035822,1.231769323348999]
[191,288,288,288,288]
[0,2.261348724,5.861358881,1.187603474,1.435429334640503]
[177,285,285,285,285]
[0,2.118087053,4.140646696,1.125937223,1.266026258468628]
[188,261,261,261,261]
[0,2.202055931,4.676187992,1.097684383,1.2793755531311035]
[189,277,277,277,277]
[0,1.806934357,3.698778629,1.067841768,1.2036528587341309]
[191,284,285,289,285]
[0,2.920466661,5.427994967,1.249029875,1.400538682937622]
[189,290,290,290,290]
[0,2.277904034,5.584439516,1.20704174,1.3990075588226318]
[182,286,289,288,289]
[0,1.935514688,3.836841106,1.14323473,1.2588064670562744]
[183,261,261,261,261]
[0,1.923835754,3.763524532,1.043431759,1.1928904056549072]
[184,265,265,265,265]
[0,1.926243305,3.53447628,1.061545849,1.192234754562378]
[178,238,238,238,238]
[0,1.860257864,3.760782719,0.9720873833,1.1072924137115479]
[185,270,270,272,270]
[0,1.527853012,2.990257502,1.019357681,1.1129906177520752]
[185,257,257,261,257]
[0,1.91910696,3.875669241,1.044847488,1.1875293254852295]
[188,292,292,294,292]
[0,1.842497587,3.63905859,1.12971735,1.2267436981201172]
[189,276,274,276,274]
[0,2.096552849,4.244803667,1.111691236,1.2540388107299805]
[176,269,269,269,269]
[0,1.72566247,2.896657944,1.037154198,1.1352722644805908]
[188,265,265,265,265]
[0,1.978792429,4.520912886,1.085902452,1.2798521518707275]
[193,295,293,297,293]
[0,2.111879587,4.0233109,1.177459717,1.2966039180755615]
[183,273,273,273,273]
[0,1.9160707,3.674022913,1.083654404,1.1900966167449951]
[179,277,277,277,277]
[0,2.040320635,3.555632353,1.121517897,1.2261357307434082]
[190,285,285,285,285]
[0,2.266980648,5.12688756,1.184449673,1.3797922134399414]
[191,278,279,281,279]
[0,2.121601105,4.200445175,1.121665716,1.2479827404022217]
[181,272,272,272,272]
[0,2.045106173,3.643996954,1.104040861,1.214289665222168]
[187,273,273,273,273]
[0,2.130288839,4.72010088,1.106820822,1.3167510032653809]
[183,297,297,297,297]
[0,3.086381912,6.752112865,1.332753181,1.5759806632995605]
[193,278,278,278,278]
[0,2.365144253,4.654944897,1.163807631,1.3239037990570068]
[185,277,277,285,277]
[0,1.962072611,3.896854877,1.103621006,1.2121467590332031]
[186,263,263,263,263]
[0,1.783095121,3.775316,1.036629438,1.1645097732543945]
[184,263,263,263,263]
[0,2.050738573,3.738310814,1.068217516,1.1954741477966309]
[186,294,294,296,294]
[0,2.153815031,4.242877245,1.194711208,1.2889606952667236]
[184,270,270,270,270]
[0,2.49951601,4.574217558,1.15692091,1.3018698692321777]
[181,285,285,276,285]
[0,1.673936605,3.045068741,1.027066469,1.1453077793121338]
[188,276,280,282,280]
[0,2.276131868,4.998168945,1.157206535,1.3345603942871094]
[186,262,262,262,262]
[0,1.580333471,3.016756296,0.9910371304,1.095494270324707]
[189,259,256,256,256]
[0,1.72300148,3.776432753,1.006082058,1.135310411453247]
[189,280,280,280,280]
[0,2.275526524,4.23798418,1.163323402,1.2902119159698486]
[185,251,251,251,251]
[0,1.731292009,3.665575743,0.9927136898,1.1188688278198242]
[187,308,308,312,308]
[0,2.467612505,5.541553736,1.28697443,1.473982572555542]
[187,258,258,258,258]
[0,1.614903212,3.070656776,0.9841423035,1.0841240882873535]
[184,276,276,276,276]
[0,2.13705039,4.812685013,1.130633831,1.2740910053253174]
[181,279,279,279,279]
[0,1.884796143,3.667045593,1.091995239,1.229156494140625]
[186,281,277,281,277]
[0,1.763471842,3.674269199,1.076014519,1.187936782836914]
[192,262,262,262,262]
[0,2.103180885,4.231043816,1.079970837,1.227623462677002]
[185,276,276,276,276]
[0,2.096395016,4.771602154,1.104507685,1.288236379623413]
[179,285,285,285,285]
