Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[0,0.1381933689,0.1737241745,0.1049005985,0.10820651054382324]
[62,90,90,90,90]
[0,0.1337227821,0.1479828358,0.1099543571,0.11123418807983398]
[63,89,89,89,89]
[0,0.146604538,0.1893804073,0.1131789684,0.1178896427154541]
[61,92,92,92,92]
[0,0.1374061108,0.159995079,0.1144402027,0.1170659065246582]
[60,84,84,84,84]
[0,0.1410381794,0.1819331646,0.1080167294,0.11094999313354492]
[55,79,79,79,79]
[0,0.1306471825,0.1415483952,0.1014471054,0.10271334648132324]
[61,76,76,76,76]
[0,0.123601675,0.1583383083,0.09715366364,0.09964656829833984]
[59,94,94,94,94]
[0,0.1550471783,0.1941685677,0.1199736595,0.12371706962585449]
[62,76,76,76,76]
[0,0.1203398705,0.1469218731,0.09568524361,0.09809732437133789]
[63,93,93,93,93]
[0,0.1418237686,0.1845080853,0.115521431,0.12027239799499512]
[56,74,74,74,74]
[0,0.1087327003,0.1109275818,0.09079551697,0.09145951271057129]
[65,82,82,82,82]
[0,0.1257193089,0.1464450359,0.1019015312,0.10421037673950195]
[60,91,91,91,91]
[0,0.1514947414,0.1942830086,0.1160321236,0.11980938911437988]
[64,79,79,79,79]
[0,0.1516532898,0.2267124653,0.1047182083,0.11231088638305664]
[61,88,88,88,88]
[0,0.1472387314,0.1778247356,0.1125538349,0.1152334213256836]
[66,84,84,84,84]
[0,0.1433525085,0.2065727711,0.107558012,0.11400914192199707]
[57,86,86,86,86]
[0,0.1606311798,0.1790602207,0.1129114628,0.1153104305267334]
[60,89,89,89,89]
[0,0.1545910835,0.2098031044,0.1146688461,0.11982083320617676]
[61,86,86,86,86]
[0,0.1450603008,0.1890592575,0.1096987724,0.1144261360168457]
[60,87,87,87,87]
[0,0.1755115986,0.234146595,0.116812706,0.12176394462585449]
[61,81,81,81,81]
[0,0.1370797157,0.1762433052,0.1046483517,0.10846209526062012]
[62,86,86,90,86]
[0,0.1298396587,0.1515445709,0.1106050014,0.10770392417907715]
[69,82,82,82,82]
[0,0.1248874664,0.1409773827,0.1011903286,0.10306572914123535]
[60,91,91,91,91]
[0,0.1555802822,0.1876327991,0.1164369583,0.11939167976379395]
[66,88,88,88,88]
[0,0.1320352554,0.1521174908,0.1089265347,0.11132264137268066]
[65,83,83,83,83]
[0,0.1272029877,0.1711905003,0.1034145355,0.10846757888793945]
[61,91,91,91,91]
[0,0.142843008,0.1765179634,0.1141302586,0.11684775352478027]
[64,82,82,82,82]
[0,0.1393940449,0.188195467,0.1049594879,0.10931634902954102]
[61,80,80,80,80]
[0,0.1365680695,0.177128315,0.1024222374,0.10636186599731445]
[66,85,84,85,84]
[0,0.1354999542,0.1763641834,0.1072881222,0.1108705997467041]
[57,95,95,95,95]
[0,0.1782319546,0.2248730659,0.1250257492,0.12883925437927246]
